Date,12/31/03,12/31/03
Time,16:00:00,16:00:00
Y_Unit_Label,Acceleration (g),Acceleration (g)
X_Dimension,Time (s),Time (s)
X0,0.00E+00,0.00E+00
Delta_X,0.000488,0.000488
***End_of_Header***,,
X_Value,tapping near accel - sink cntr - Acceleration - platform,tapping near accel - sink cntr - Acceleration - table
0.239746,-0.028999,8.14E-05
0.240234,-0.025964,-5.25E-05
0.240723,-0.022917,-0.000162
0.241211,-0.021537,-0.000372
0.241699,-0.018616,-0.000348
0.242187,-0.014913,-0.000649
0.242676,-0.010914,-0.00095
0.243164,-0.005674,-0.0012
0.243652,-0.000872,-0.001735
0.244141,0.003034,-0.002427
0.244629,0.006156,-0.002733
0.245117,0.009288,-0.003299
0.245605,0.012776,-0.003558
0.246094,0.01675,-0.003816
0.246582,0.021356,-0.003675
0.24707,0.025919,-0.003604
0.247559,0.02942,-0.00326
0.248047,0.03208,-0.003082
0.248535,0.03525,-0.002797
0.249023,0.037577,-0.002533
0.249512,0.038948,-0.002399
0.25,0.039466,-0.00216
0.250488,0.04036,-0.00182
0.250977,0.039257,-0.001357
0.251465,0.039652,-0.001005
0.251953,0.038407,-0.000546
0.252441,0.038266,-0.000139
0.25293,0.03777,0.000228
0.253418,0.036329,0.000648
0.253906,0.033892,0.000785
0.254395,0.031311,0.001086
0.254883,0.027861,0.001412
0.255371,0.02448,0.001656
0.255859,0.02021,0.002206
0.256348,0.01575,0.00226
0.256836,0.011483,0.002678
0.257324,0.006989,0.003078
0.257812,0.002482,0.003246
0.258301,-0.001783,0.003628
0.258789,-0.006031,0.003737
0.259277,-0.011992,0.00384
0.259766,-0.016726,0.004015
0.260254,-0.020858,0.004055
0.260742,-0.026472,0.004224
0.26123,-0.030878,0.004193
0.261719,-0.033946,0.004037
0.262207,-0.036427,0.003913
0.262695,-0.038809,0.003614
0.263184,-0.039906,0.003286
0.263672,-0.040403,0.002717
0.26416,-0.041668,0.00232
0.264648,-0.042881,0.002048
0.265137,-0.042326,0.001771
0.265625,-0.043055,0.001555
0.266113,-0.042683,0.001334
0.266602,-0.041343,0.001127
0.26709,-0.040171,0.000879
0.267578,-0.037846,0.000543
0.268066,-0.034477,0.000153
0.268555,-0.030322,-0.000329
0.269043,-0.026983,-0.000576
0.269531,-0.022831,-0.000864
0.27002,-0.018817,-0.001205
0.270508,-0.013762,-0.001414
0.270996,-0.009548,-0.001573
0.271484,-0.00495,-0.002048
0.271973,0.000722,-0.002352
0.272461,0.006474,-0.002628
0.272949,0.012611,-0.002899
0.273437,0.017731,-0.002895
0.273926,0.022752,-0.002793
0.274414,0.02755,-0.002596
0.274902,0.031283,-0.002435
0.275391,0.035273,-0.002322
0.275879,0.038286,-0.002183
0.276367,0.039449,-0.002384
0.276855,0.041063,-0.002332
0.277344,0.043963,-0.00246
0.277832,0.045596,-0.002342
0.27832,0.046796,-0.002243
0.278809,0.046555,-0.002113
0.279297,0.045261,-0.001867
0.279785,0.044537,-0.001532
0.280273,0.044051,-0.001001
0.280762,0.041848,-0.000617
0.28125,0.038994,-8.06E-05
0.281738,0.036348,0.000353
0.282227,0.033318,0.000876
0.282715,0.02903,0.00127
0.283203,0.023999,0.001639
0.283691,0.019551,0.002028
0.28418,0.01437,0.002392
0.284668,0.008826,0.002533
0.285156,0.003795,0.002737
0.285645,-0.002729,0.002824
0.286133,-0.008689,0.002933
0.286621,-0.013481,0.00265
0.287109,-0.019203,0.002554
0.287598,-0.024233,0.002325
0.288086,-0.028352,0.002202
0.288574,-0.032874,0.002117
0.289062,-0.035942,0.002227
0.289551,-0.038189,0.002067
0.290039,-0.039673,0.00205
0.290527,-0.042783,0.002026
0.291016,-0.045918,0.002085
0.291504,-0.047332,0.001903
0.291992,-0.048739,0.001645
0.29248,-0.048965,0.00119
0.292969,-0.048454,0.000856
0.293457,-0.048772,0.000543
0.293945,-0.047227,7.58E-05
0.294434,-0.044235,-0.000515
0.294922,-0.041394,-0.000717
0.29541,-0.037944,-0.001042
0.295898,-0.034587,-0.001356
0.296387,-0.030343,-0.001633
